PATIENT_ID,CHEK1,CHEK2,ATM,ATR,BAD,BAX,RAD51,BCL2,BCL2L1,BRCA1,BRCA2,TP53,PALB2,BRIP1
TCGA-13-1507,4.2303,5.056,0.8046,0.5861,32.9869,19.6125,3.18,0.2658,57.4883,0.8173,0.6058,6.3075,3.8895,0.6054
TCGA-13-1509,7.5784,4.2828,1.1023,1.0175,17.3105,20.9673,3.4205,0.4219,36.0267,2.6073,1.282,7.7145,2.4156,1.4878
TCGA-13-1510,3.3123,4.4151,1.5685,1.0697,13.9209,12.2502,1.4822,0.6816,42.4241,0.515,0.6235,3.7353,6.367,0.7951
TCGA-13-1511,4.0398,8.5273,1.4488,1.0968,10.5085,8.4557,2.9612,0.2634,40.8052,0.6862,0.2471,52.1128,3.1297,0.2457
TCGA-13-1512,5.6018,4.2241,0.8607,0.3864,11.5066,27.5716,11.2579,0.2496,34.5471,0.5437,2.4308,25.038,4.0928,0.8417
TCGA-13-2060,5.3087,5.3258,1.2476,1.0341,8.7938,15.8839,6.2313,0.4354,30.2669,1.5245,0.9753,37.0372,4.1118,0.7942
TCGA-13-A5FT,6.9401,9.9301,2.5505,2.7109,6.8271,17.4471,5.5058,2.0154,59.4271,3.9472,0.5494,2.9122,2.3944,3.5184
TCGA-20-0987,2.2155,1.0098,0.6243,0.439,18.7872,14.7785,4.9802,0.682,64.9254,0.7516,0.4614,24.9197,2.4192,0.196
TCGA-20-0991,4.5328,3.1492,0.6978,0.8767,11.6385,37.7959,6.0842,0.9481,65.0084,0.9957,0.2703,43.2798,2.106,0.2772
TCGA-20-1682,6.5682,3.3937,1.2777,1.2864,6.6753,11.9272,3.4457,0.6978,24.4489,0.4907,0.4755,25.3086,4.1507,0.727
TCGA-20-1683,2.6931,4.5049,1.1706,1.8689,15.7956,13.566,2.4186,0.5092,36.4362,4.7779,1.5404,14.2127,3.2518,1.0176
TCGA-20-1684,5.7276,5.8299,1.7415,0.6078,6.345,6.971,5.9402,3.37,25.1079,1.7434,1.2887,88.1979,6.7419,0.9533
TCGA-20-1685,11.2384,7.5028,1.8572,1.1298,9.4518,11.9348,9.9329,0.7252,28.7307,1.6872,0.4576,33.1391,3.4297,1.5424
TCGA-20-1686,4.136,2.8986,1.68,1.0334,13.0368,14.5774,6.77,0.1428,29.7497,1.2884,1.5293,23.1892,3.0546,0.5338
TCGA-20-1687,1.4268,2.3807,1.7738,0.8327,12.9231,11.2659,2.0076,2.9096,31.261,0.2218,0.3145,32.3516,2.6457,0.2461
TCGA-23-1021,2.4647,3.0607,1.2955,1.1482,32.2774,9.6189,2.6542,0.6685,35.0476,0.6289,0.1854,38.2383,3.1728,0.2345
TCGA-23-1022,10.2095,6.1281,1.4245,0.5742,43.3755,13.845,5.3467,1.0599,62.8979,0.4104,0.7941,87.1888,2.1255,0.8691
TCGA-23-1023,4.9101,3.1238,0.9682,0.5963,19.9596,15.1526,4.5202,0.5752,30.2961,0.3796,0.3516,27.2904,2.2125,0.7034
TCGA-23-1024,7.4756,4.8755,1.0195,1.1322,9.1833,10.5312,6.6332,2.1752,27.5301,1.3893,0.7626,4.073,4.1037,0.6268
